,系统I温度 (Temperature of system I),系统II温度 (Temperature of system II),原矿参数1 (Mineral parameter 1),原矿参数2 (Mineral parameter 2),原矿参数3 (Mineral parameter 3),原矿参数4 (Mineral parameter 4),原矿质量
870,298.54,354.69,57.23,111.59,47.28,18.87,408.81
871,,378.51,57.23,111.59,47.28,18.87,408.81
872,,378.33,57.23,111.59,47.28,18.87,408.81
873,,378.81,57.23,111.59,47.28,18.87,423.46000000000004
874,,378.42,57.23,111.59,47.28,18.87,423.46000000000004
875,,378.43,57.23,111.59,47.28,18.87,423.46000000000004
876,,378.68,57.23,111.59,47.28,18.87,416.7
877,,378.62,57.23,111.59,47.28,18.87,416.7
878,,378.48,57.23,111.59,47.28,18.87,416.7
879,,378.3,57.23,111.59,47.28,18.87,425.36
880,,378.68,57.23,111.59,47.28,18.87,425.36
881,,378.51,57.23,111.59,47.28,18.87,425.36
882,,378.63,57.23,111.59,47.28,18.87,418.44
883,,378.2,57.23,111.59,47.28,18.87,418.44
884,,377.92,57.23,111.59,47.28,18.87,418.44
885,,378.36,57.23,111.59,47.28,18.87,426.12
886,,378.71,57.23,111.59,47.28,18.87,426.12
887,463.21,583.1,57.23,111.59,47.28,18.87,426.12
888,464.49,583.26,57.23,111.59,47.28,18.87,441.09999999999997
889,463.16,582.58,57.23,111.59,47.28,18.87,441.09999999999997
890,758.25,752.24,57.23,111.59,47.28,18.87,441.09999999999997
891,757.63,752.39,57.23,111.59,47.28,18.87,441.06000000000006
892,757.58,752.15,57.23,111.59,47.28,18.87,441.06000000000006
893,757.81,751.65,55.0,102.93,48.36,20.21,441.06000000000006
894,894.94,868.6,55.0,102.93,48.36,20.21,445.29
895,895.03,868.37,55.0,102.93,48.36,20.21,445.29
896,895.33,868.57,55.0,102.93,48.36,20.21,445.29
897,895.6,868.98,55.0,102.93,48.36,20.21,457.23
898,894.85,868.53,55.0,102.93,48.36,20.21,457.23
899,895.65,868.55,55.0,102.93,48.36,20.21,457.23
900,731.25,728.96,55.0,102.93,48.36,20.21,454.99
901,730.9,729.2,55.0,102.93,48.36,20.21,454.99
902,575.82,595.04,55.0,102.93,48.36,20.21,454.99
903,288.42,442.99,55.0,102.93,48.36,20.21,436.48
904,287.94,442.8,55.0,102.93,48.36,20.21,436.48
905,288.82,443.08,55.0,102.93,48.36,20.21,436.48
906,288.68,443.38,55.0,102.93,48.36,20.21,426.08000000000004
907,288.51,442.88,55.0,102.93,48.36,20.21,426.08000000000004
908,288.29,443.26,55.0,102.93,48.36,20.21,426.08000000000004
909,,491.04,55.0,102.93,48.36,20.21,423.03000000000003
910,,491.05,55.0,102.93,48.36,20.21,423.03000000000003
911,,490.29,55.0,102.93,48.36,20.21,423.03000000000003
912,,491.02,55.0,102.93,48.36,20.21,423.28
913,,491.21,55.0,102.93,48.36,20.21,423.28
914,,491.28,55.0,102.93,48.36,20.21,423.28
915,,490.76,55.0,102.93,48.36,20.21,411.96
916,,491.16,55.0,102.93,48.36,20.21,411.96
917,,490.98,55.53,105.06,44.68,18.8,411.96
918,,491.6,55.53,105.06,44.68,18.8,405.16999999999996
919,,491.17,55.53,105.06,44.68,18.8,405.16999999999996
920,,491.28,55.53,105.06,44.68,18.8,405.16999999999996
921,,491.3,55.53,105.06,44.68,18.8,420.25
922,,490.99,55.53,105.06,44.68,18.8,420.25
923,,491.41,55.53,105.06,44.68,18.8,420.25
924,,491.21,55.53,105.06,44.68,18.8,469.04
925,,491.03,55.53,105.06,44.68,18.8,469.04
926,,262.13,55.53,105.06,44.68,18.8,469.04
927,,262.65,55.53,105.06,44.68,18.8,397.08000000000004
928,,262.39,55.53,105.06,44.68,18.8,397.08000000000004
929,,262.75,55.53,105.06,44.68,18.8,397.08000000000004
930,,265.72,55.53,105.06,44.68,18.8,376.96000000000004
931,,265.86,55.53,105.06,44.68,18.8,376.96000000000004
932,,265.27,55.53,105.06,44.68,18.8,376.96000000000004
933,,262.53,55.53,105.06,44.68,18.8,367.91999999999996
934,,262.55,55.53,105.06,44.68,18.8,367.91999999999996
935,,261.84,55.53,105.06,44.68,18.8,367.91999999999996
936,,262.46,55.53,105.06,44.68,18.8,356.33000000000004
937,,262.2,55.53,105.06,44.68,18.8,356.33000000000004
938,,262.48,55.53,105.06,44.68,18.8,356.33000000000004
939,,262.4,55.53,105.06,44.68,18.8,400.07
940,,262.61,55.53,105.06,44.68,18.8,400.07
941,,262.04,56.08,113.75,45.77,20.86,400.07
942,,390.61,56.08,113.75,45.77,20.86,398.12
943,468.42,686.46,56.08,113.75,45.77,20.86,398.12
944,467.5,686.49,56.08,113.75,45.77,20.86,398.12
945,467.94,686.42,56.08,113.75,45.77,20.86,408.42999999999995
946,289.21,655.6,56.08,113.75,45.77,20.86,408.42999999999995
947,,650.28,56.08,113.75,45.77,20.86,408.42999999999995
948,,503.48,56.08,113.75,45.77,20.86,417.63
949,,503.18,56.08,113.75,45.77,20.86,417.63
950,,503.48,56.08,113.75,45.77,20.86,417.63
951,,503.38,56.08,113.75,45.77,20.86,412.38
952,,503.28,56.08,113.75,45.77,20.86,412.38
953,,503.41,56.08,113.75,45.77,20.86,412.38
954,313.48,549.96,56.08,113.75,45.77,20.86,422.21000000000004
955,312.9,549.84,56.08,113.75,45.77,20.86,422.21000000000004
956,464.09,685.85,56.08,113.75,45.77,20.86,422.21000000000004
957,463.34,685.91,56.08,113.75,45.77,20.86,404.15999999999997
958,463.52,686.08,56.08,113.75,45.77,20.86,404.15999999999997
959,614.7,712.03,56.08,113.75,45.77,20.86,404.15999999999997
960,643.26,824.93,56.08,113.75,45.77,20.86,393.12
961,862.81,945.07,56.08,113.75,45.77,20.86,393.12
962,862.9,945.16,56.08,113.75,45.77,20.86,393.12
963,862.54,943.6,56.08,113.75,45.77,20.86,394.73
964,862.81,944.78,56.08,113.75,45.77,20.86,394.73
965,1011.74,971.25,54.39,98.56,46.98,19.5,394.73
966,1011.13,970.87,54.39,98.56,46.98,19.5,410.23
967,1011.08,970.76,54.39,98.56,46.98,19.5,410.23
968,862.59,944.89,54.39,98.56,46.98,19.5,410.23
969,862.23,944.45,54.39,98.56,46.98,19.5,410.85
970,863.56,945.39,54.39,98.56,46.98,19.5,410.85
971,724.79,921.15,54.39,98.56,46.98,19.5,410.85
972,724.48,921.3,54.39,98.56,46.98,19.5,417.29999999999995
973,723.64,919.43,54.39,98.56,46.98,19.5,417.29999999999995
974,1003.12,968.34,54.39,98.56,46.98,19.5,417.29999999999995
975,1003.8,969.52,54.39,98.56,46.98,19.5,411.35
976,1003.08,969.1,54.39,98.56,46.98,19.5,411.35
977,1298.3,1020.57,54.39,98.56,46.98,19.5,411.35
978,1297.33,1019.93,54.39,98.56,46.98,19.5,400.99
979,1297.82,1020.24,54.39,98.56,46.98,19.5,400.99
980,1298.39,1020.53,54.39,98.56,46.98,19.5,400.99
981,1297.78,1020.78,54.39,98.56,46.98,19.5,401.68
982,994.46,862.5,54.39,98.56,46.98,19.5,401.68
983,994.55,862.5,54.39,98.56,46.98,19.5,401.68
984,993.72,862.6,54.39,98.56,46.98,19.5,390.09000000000003
985,1013.16,865.64,54.39,98.56,46.98,19.5,390.09000000000003
986,1013.51,865.98,54.39,98.56,46.98,19.5,390.09000000000003
987,704.82,778.33,54.39,98.56,46.98,19.5,408.61
988,704.29,778.6,54.39,98.56,46.98,19.5,408.61
989,703.98,778.95,57.47,109.47,46.61,17.77,408.61
990,704.38,778.18,57.47,109.47,46.61,17.77,409.2
991,1204.21,924.99,57.47,109.47,46.61,17.77,409.2
992,1208.32,924.99,57.47,109.47,46.61,17.77,409.2
993,1207.22,924.97,57.47,109.47,46.61,17.77,410.85
994,1158.6,917.63,57.47,109.47,46.61,17.77,410.85
995,1002.33,831.07,57.47,109.47,46.61,17.77,410.85
996,1003.88,831.58,57.47,109.47,46.61,17.77,409.40999999999997
997,1004.19,832.05,57.47,109.47,46.61,17.77,409.40999999999997
998,1002.9,831.36,57.47,109.47,46.61,17.77,409.40999999999997
999,1003.7,831.65,57.47,109.47,46.61,17.77,410.36
1000,1003.04,831.34,57.47,109.47,46.61,17.77,410.36
1001,1141.76,988.83,57.47,109.47,46.61,17.77,410.36
1002,1404.59,1026.63,57.47,109.47,46.61,17.77,399.11
1003,1405.29,1026.26,57.47,109.47,46.61,17.77,399.11
1004,1404.41,1026.08,57.47,109.47,46.61,17.77,399.11
1005,1272.09,1006.17,57.47,109.47,46.61,17.77,412.71999999999997
1006,1141.55,988.49,57.47,109.47,46.61,17.77,412.71999999999997
1007,1141.63,988.94,57.47,109.47,46.61,17.77,412.71999999999997
1008,1141.63,988.38,57.47,109.47,46.61,17.77,410.84000000000003
1009,927.78,857.93,57.47,109.47,46.61,17.77,410.84000000000003
1010,927.2,858.06,57.47,109.47,46.61,17.77,410.84000000000003
1011,927.95,857.86,57.47,109.47,46.61,17.77,412.95000000000005
1012,1141.37,996.78,57.47,109.47,46.61,17.77,412.95000000000005
1013,1141.28,996.63,56.78,112.69,45.83,19.03,412.95000000000005
1014,1142.16,997.31,56.78,112.69,45.83,19.03,428.77
1015,1141.63,997.01,56.78,112.69,45.83,19.03,428.77
1016,1142.07,996.88,56.78,112.69,45.83,19.03,428.77
1017,1141.77,997.66,56.78,112.69,45.83,19.03,416.23
1018,855.96,749.23,56.78,112.69,45.83,19.03,416.23
1019,856.1,749.65,56.78,112.69,45.83,19.03,416.23
1020,856.0,749.55,56.78,112.69,45.83,19.03,406.89
1021,856.1,749.29,56.78,112.69,45.83,19.03,406.89
1022,584.7,671.32,56.78,112.69,45.83,19.03,406.89
1023,585.05,691.74,56.78,112.69,45.83,19.03,426.09000000000003
1024,585.71,692.1,56.78,112.69,45.83,19.03,426.09000000000003
1025,585.98,691.78,56.78,112.69,45.83,19.03,426.09000000000003
1026,585.71,691.68,56.78,112.69,45.83,19.03,421.46
1027,724.31,806.44,56.78,112.69,45.83,19.03,421.46
1028,724.09,806.38,56.78,112.69,45.83,19.03,421.46
1029,724.31,818.63,56.78,112.69,45.83,19.03,419.64
1030,855.39,940.8,56.78,112.69,45.83,19.03,419.64
1031,856.31,941.02,56.78,112.69,45.83,19.03,419.64
1032,855.03,941.02,56.78,112.69,45.83,19.03,409.75
1033,854.82,927.41,56.78,112.69,45.83,19.03,409.75
1034,855.65,928.35,56.78,112.69,45.83,19.03,409.75
1035,757.55,866.86,56.78,112.69,45.83,19.03,428.99
1036,757.77,866.88,56.78,112.69,45.83,19.03,428.99
1037,758.16,866.75,54.19,98.61,47.88,21.55,428.99
1038,758.3,867.1,54.19,98.61,47.88,21.55,448.09
1039,758.47,866.55,54.19,98.61,47.88,21.55,448.09
1040,757.77,866.34,54.19,98.61,47.88,21.55,448.09
1041,758.78,867.25,54.19,98.61,47.88,21.55,427.21999999999997
1042,758.91,867.08,54.19,98.61,47.88,21.55,427.21999999999997
1043,758.61,866.94,54.19,98.61,47.88,21.55,427.21999999999997
1044,758.87,867.23,54.19,98.61,47.88,21.55,443.24
1045,776.59,862.68,54.19,98.61,47.88,21.55,443.24
1046,776.46,845.7,54.19,98.61,47.88,21.55,443.24
1047,593.0,732.24,54.19,98.61,47.88,21.55,414.36
1048,593.05,732.64,54.19,98.61,47.88,21.55,414.36
1049,453.09,584.96,54.19,98.61,47.88,21.55,414.36
1050,454.37,589.5,54.19,98.61,47.88,21.55,435.11
1051,453.79,589.05,54.19,98.61,47.88,21.55,435.11
1052,453.97,584.99,54.19,98.61,47.88,21.55,435.11
1053,453.84,585.58,54.19,98.61,47.88,21.55,459.84000000000003
1054,453.53,585.29,54.19,98.61,47.88,21.55,459.84000000000003
1055,454.46,586.05,54.19,98.61,47.88,21.55,459.84000000000003
1056,454.11,585.36,54.19,98.61,47.88,21.55,430.81000000000006
1057,453.09,584.64,54.19,98.61,47.88,21.55,430.81000000000006
1058,454.37,584.81,54.44,94.32,47.88,23.08,430.81000000000006
1059,717.59,824.98,54.44,94.32,47.88,23.08,452.33000000000004
1060,716.84,824.74,54.44,94.32,47.88,23.08,452.33000000000004
1061,717.23,825.45,54.44,94.32,47.88,23.08,452.33000000000004
1062,1003.61,956.66,54.44,94.32,47.88,23.08,451.5
1063,1003.39,956.07,54.44,94.32,47.88,23.08,451.5
1064,1003.79,956.5,54.44,94.32,47.88,23.08,451.5
1065,724.48,730.6,54.44,94.32,47.88,23.08,457.75
1066,724.26,730.11,54.44,94.32,47.88,23.08,457.75
1067,724.17,730.13,54.44,94.32,47.88,23.08,457.75
1068,724.35,730.23,54.44,94.32,47.88,23.08,449.32
1069,856.27,845.09,54.44,94.32,47.88,23.08,449.32
1070,855.92,845.59,54.44,94.32,47.88,23.08,449.32
1071,854.85,867.83,54.44,94.32,47.88,23.08,441.77000000000004
1072,941.39,937.03,54.44,94.32,47.88,23.08,441.77000000000004
1073,941.08,946.21,54.44,94.32,47.88,23.08,441.77000000000004
1074,855.43,875.02,54.44,94.32,47.88,23.08,460.48
1075,855.65,833.05,54.44,94.32,47.88,23.08,460.48
1076,855.65,833.65,54.44,94.32,47.88,23.08,460.48
1077,855.21,833.33,54.44,94.32,47.88,23.08,459.85
1078,733.81,710.38,54.44,94.32,47.88,23.08,459.85
1079,732.79,709.4,54.44,94.32,47.88,23.08,459.85
1080,733.41,710.22,54.44,94.32,47.88,23.08,446.63
1081,912.31,865.25,54.44,94.32,47.88,23.08,446.63
1082,912.97,869.55,58.14,108.41,44.92,18.18,446.63
1083,913.15,870.3,58.14,108.41,44.92,18.18,396.31
1084,913.1,869.58,58.14,108.41,44.92,18.18,396.31
1085,913.37,869.87,58.14,108.41,44.92,18.18,396.31
1086,912.57,869.33,58.14,108.41,44.92,18.18,400.02
1087,723.42,722.31,58.14,108.41,44.92,18.18,400.02
1088,724.31,722.5,58.14,108.41,44.92,18.18,400.02
1089,593.09,599.68,58.14,108.41,44.92,18.18,398.12
1090,592.21,599.74,58.14,108.41,44.92,18.18,398.12
1091,592.56,599.58,58.14,108.41,44.92,18.18,398.12
1092,287.76,581.26,58.14,108.41,44.92,18.18,408.23
1093,288.2,581.67,58.14,108.41,44.92,18.18,408.23
1094,,647.24,58.14,108.41,44.92,18.18,408.23
1095,,647.8,58.14,108.41,44.92,18.18,386.77
1096,,647.17,58.14,108.41,44.92,18.18,386.77
1097,,647.95,58.14,108.41,44.92,18.18,386.77
1098,,647.62,58.14,108.41,44.92,18.18,410.44
1099,437.88,680.98,58.14,108.41,44.92,18.18,410.44
1100,436.6,680.3,58.14,108.41,44.92,18.18,410.44
1101,576.3,806.98,58.14,108.41,44.92,18.18,381.91999999999996
1102,732.57,933.98,58.14,108.41,44.92,18.18,381.91999999999996
1103,732.83,934.04,58.14,108.41,44.92,18.18,381.91999999999996
1104,1002.42,972.15,58.14,108.41,44.92,18.18,389.92
1105,1404.63,1030.62,58.14,108.41,44.92,18.18,389.92
1106,1404.76,1031.11,54.41,93.77,50.84,19.31,389.92
1107,1406.89,1032.74,54.41,93.77,50.84,19.31,426.27
1108,1405.64,1030.77,54.41,93.77,50.84,19.31,426.27
1109,1404.63,1030.68,54.41,93.77,50.84,19.31,426.27
1110,1405.33,1030.99,54.41,93.77,50.84,19.31,405.90999999999997
1111,1405.33,1030.51,54.41,93.77,50.84,19.31,405.90999999999997
1112,1404.15,1031.26,54.41,93.77,50.84,19.31,405.90999999999997
1113,1404.19,1030.58,54.41,93.77,50.84,19.31,394.72
1114,1403.04,1028.72,54.41,93.77,50.84,19.31,394.72
1115,1405.91,1030.75,54.41,93.77,50.84,19.31,394.72
1116,1405.47,1030.92,54.41,93.77,50.84,19.31,407.01
1117,1405.07,1017.11,54.41,93.77,50.84,19.31,407.01
1118,1404.54,1019.68,54.41,93.77,50.84,19.31,407.01
1119,1403.97,1039.93,54.41,93.77,50.84,19.31,395.74
1120,1405.07,1030.98,54.41,93.77,50.84,19.31,395.74
1121,1406.27,1031.2,54.41,93.77,50.84,19.31,395.74
1122,1403.79,1031.09,54.41,93.77,50.84,19.31,395.53999999999996
1123,1404.28,1030.87,54.41,93.77,50.84,19.31,395.53999999999996
1124,1141.23,993.51,54.41,93.77,50.84,19.31,395.53999999999996
1125,1142.38,993.31,54.41,93.77,50.84,19.31,413.52
1126,856.09,951.7,54.41,93.77,50.84,19.31,413.52
1127,855.61,952.57,54.41,93.77,50.84,19.31,413.52
1128,1002.78,972.46,54.41,93.77,50.84,19.31,399.75
1129,1003.88,972.93,54.41,93.77,50.84,19.31,399.75
1130,1002.99,973.28,57.02,109.98,49.63,19.21,399.75
1131,1003.57,973.34,57.02,109.98,49.63,19.21,406.86
1132,717.59,931.37,57.02,109.98,49.63,19.21,406.86
1133,717.19,931.51,57.02,109.98,49.63,19.21,406.86
1134,717.06,931.36,57.02,109.98,49.63,19.21,413.12
1135,717.33,931.75,57.02,109.98,49.63,19.21,413.12
1136,856.41,951.76,57.02,109.98,49.63,19.21,413.12
1137,1011.3,974.16,57.02,109.98,49.63,19.21,435.41
1138,1011.61,974.22,57.02,109.98,49.63,19.21,435.41
1139,1273.42,1011.75,57.02,109.98,49.63,19.21,435.41
1140,1273.9,1011.92,57.02,109.98,49.63,19.21,433.98
1141,1273.33,1011.74,57.02,109.98,49.63,19.21,433.98
1142,1272.8,1011.85,57.02,109.98,49.63,19.21,433.98
1143,1272.89,1008.89,57.02,109.98,49.63,19.21,419.0
1144,1273.29,1008.59,57.02,109.98,49.63,19.21,419.0
1145,1272.36,1008.62,57.02,109.98,49.63,19.21,419.0
1146,1158.96,994.74,57.02,109.98,49.63,19.21,426.49
1147,871.64,958.92,57.02,109.98,49.63,19.21,426.49
1148,592.87,815.63,57.02,109.98,49.63,19.21,426.49
1149,592.17,815.21,57.02,109.98,49.63,19.21,426.07000000000005
1150,591.86,815.58,57.02,109.98,49.63,19.21,426.07000000000005
1151,855.7,955.62,57.02,109.98,49.63,19.21,426.07000000000005
1152,1011.31,1081.52,57.02,109.98,49.63,19.21,426.1
1153,1011.66,969.88,57.02,109.98,49.63,19.21,426.1
1154,1010.86,1025.54,55.12,112.1,48.06,20.26,426.1
1155,862.99,935.96,55.12,112.1,48.06,20.26,417.90999999999997
1156,715.82,868.0,55.12,112.1,48.06,20.26,417.90999999999997
1157,717.01,868.83,55.12,112.1,48.06,20.26,417.90999999999997
1158,717.11,868.5,55.12,112.1,48.06,20.26,412.31
1159,717.42,869.08,55.12,112.1,48.06,20.26,412.31
1160,1002.64,1079.48,55.12,112.1,48.06,20.26,412.31
1161,1003.79,1079.82,55.12,112.1,48.06,20.26,403.78999999999996
1162,1003.39,1079.15,55.12,112.1,48.06,20.26,403.78999999999996
1163,1290.74,1119.17,55.12,112.1,48.06,20.26,403.78999999999996
1164,1290.65,1106.64,55.12,112.1,48.06,20.26,415.40000000000003
1165,1290.75,1077.33,55.12,112.1,48.06,20.26,415.40000000000003
1166,1291.32,1110.26,55.12,112.1,48.06,20.26,415.40000000000003
1167,1291.28,1117.75,55.12,112.1,48.06,20.26,407.56
1168,1290.3,950.2,55.12,112.1,48.06,20.26,407.56
1169,1291.89,867.28,55.12,112.1,48.06,20.26,407.56
1170,1291.4,866.67,55.12,112.1,48.06,20.26,420.6
1171,1290.92,866.54,55.12,112.1,48.06,20.26,420.6
1172,1290.97,866.71,55.12,112.1,48.06,20.26,420.6
1173,1149.46,805.52,55.12,112.1,48.06,20.26,429.89
1174,1169.58,915.01,55.12,112.1,48.06,20.26,429.89
1175,1169.99,962.87,55.12,112.1,48.06,20.26,429.89
1176,1168.93,920.39,55.12,112.1,48.06,20.26,413.79
1177,1002.58,891.49,55.12,112.1,48.06,20.26,413.79
1178,1001.11,891.04,57.85,113.63,45.77,18.23,413.79
1179,1002.58,891.38,57.85,113.63,45.77,18.23,411.28
1180,1002.58,821.22,57.85,113.63,45.77,18.23,411.28
1181,735.68,705.3,57.85,113.63,45.77,18.23,411.28
1182,632.0,640.93,57.85,113.63,45.77,18.23,412.48
1183,582.03,631.83,57.85,113.63,45.77,18.23,412.48
1184,332.62,548.3,57.85,113.63,45.77,18.23,412.48
1185,333.37,548.75,57.85,113.63,45.77,18.23,424.45
1186,578.38,669.93,57.85,113.63,45.77,18.23,424.45
1187,577.61,669.83,57.85,113.63,45.77,18.23,424.45
1188,578.0,670.02,57.85,113.63,45.77,18.23,419.91
1189,577.85,670.95,57.85,113.63,45.77,18.23,419.91
1190,577.79,670.5,57.85,113.63,45.77,18.23,419.91
1191,578.38,745.46,57.85,113.63,45.77,18.23,412.19
1192,577.91,712.23,57.85,113.63,45.77,18.23,412.19
1193,576.93,761.47,57.85,113.63,45.77,18.23,412.19
1194,577.76,622.67,57.85,113.63,45.77,18.23,441.32
1195,578.49,712.7,57.85,113.63,45.77,18.23,441.32
1196,577.88,712.1,57.85,113.63,45.77,18.23,441.32
1197,577.2,763.09,57.85,113.63,45.77,18.23,437.39
1198,436.84,740.96,57.85,113.63,45.77,18.23,437.39
1199,437.31,741.93,57.85,113.63,45.77,18.23,437.39
1200,725.31,872.01,57.85,113.63,45.77,18.23,430.05999999999995
1201,860.46,891.87,57.85,113.63,45.77,18.23,430.05999999999995
1202,860.69,892.81,53.73,106.88,43.78,21.3,430.05999999999995
1203,860.16,891.55,53.73,106.88,43.78,21.3,421.11
1204,860.6,891.81,53.73,106.88,43.78,21.3,421.11
1205,860.57,891.86,53.73,106.88,43.78,21.3,421.11
1206,860.28,891.84,53.73,106.88,43.78,21.3,418.96
1207,860.19,891.87,53.73,106.88,43.78,21.3,418.96
1208,860.52,891.65,53.73,106.88,43.78,21.3,418.96
1209,860.1,891.99,53.73,106.88,43.78,21.3,407.34000000000003
1210,859.8,891.65,53.73,106.88,43.78,21.3,407.34000000000003
1211,859.48,891.28,53.73,106.88,43.78,21.3,407.34000000000003
1212,859.31,891.65,53.73,106.88,43.78,21.3,427.56000000000006
1213,582.68,850.83,53.73,106.88,43.78,21.3,427.56000000000006
1214,582.65,851.34,53.73,106.88,43.78,21.3,427.56000000000006
1215,581.97,851.72,53.73,106.88,43.78,21.3,425.72
1216,582.71,851.39,53.73,106.88,43.78,21.3,425.72
1217,860.13,891.95,53.73,106.88,43.78,21.3,425.72
1218,859.69,892.66,53.73,106.88,43.78,21.3,439.94000000000005
1219,860.6,892.16,53.73,106.88,43.78,21.3,439.94000000000005
1220,860.22,892.05,53.73,106.88,43.78,21.3,439.94000000000005
1221,858.83,891.52,53.73,106.88,43.78,21.3,423.15
1222,860.28,892.96,53.73,106.88,43.78,21.3,423.15
1223,860.57,892.4,53.73,106.88,43.78,21.3,423.15
1224,860.39,891.81,53.73,106.88,43.78,21.3,432.78
1225,859.48,891.58,53.73,106.88,43.78,21.3,432.78
1226,1148.98,933.71,58.53,117.06,43.54,18.37,432.78
1227,1149.04,933.25,58.53,117.06,43.54,18.37,439.48
1228,1149.25,934.17,58.53,117.06,43.54,18.37,439.48
1229,1148.89,933.91,58.53,117.06,43.54,18.37,439.48
1230,1149.04,932.93,58.53,117.06,43.54,18.37,446.32
1231,1149.16,933.29,58.53,117.06,43.54,18.37,446.32
1232,1296.21,954.47,58.53,117.06,43.54,18.37,446.32
1233,1296.74,954.73,58.53,117.06,43.54,18.37,438.35
1234,1297.04,954.68,58.53,117.06,43.54,18.37,438.35
1235,1296.62,954.76,58.53,117.06,43.54,18.37,438.35
1236,1013.78,913.87,58.53,117.06,43.54,18.37,429.97
1237,870.44,746.47,58.53,117.06,43.54,18.37,429.97
1238,870.5,746.46,58.53,117.06,43.54,18.37,429.97
1239,871.47,746.74,58.53,117.06,43.54,18.37,425.56000000000006
1240,610.06,708.82,58.53,117.06,43.54,18.37,425.56000000000006
1241,610.2,709.04,58.53,117.06,43.54,18.37,425.56000000000006
1242,696.23,720.49,58.53,117.06,43.54,18.37,421.46
1243,695.9,721.31,58.53,117.06,43.54,18.37,421.46
1244,696.17,705.22,58.53,117.06,43.54,18.37,421.46
1245,426.0,576.18,58.53,117.06,43.54,18.37,418.17
1246,426.82,576.45,58.53,117.06,43.54,18.37,418.17
1247,288.67,480.05,58.53,117.06,43.54,18.37,418.17
1248,289.14,452.41,58.53,117.06,43.54,18.37,441.66
1249,289.2,479.44,58.53,117.06,43.54,18.37,441.66
1250,289.7,479.88,55.75,102.09,47.4,20.51,441.66
1251,288.94,479.99,55.75,102.09,47.4,20.51,432.94
1252,289.61,480.17,55.75,102.09,47.4,20.51,432.94
1253,288.96,480.16,55.75,102.09,47.4,20.51,432.94
1254,436.87,561.71,55.75,102.09,47.4,20.51,441.56999999999994
1255,437.1,561.6,55.75,102.09,47.4,20.51,441.56999999999994
1256,577.96,680.5,55.75,102.09,47.4,20.51,441.56999999999994
1257,578.0,639.9,55.75,102.09,47.4,20.51,429.78999999999996
1258,576.03,804.95,55.75,102.09,47.4,20.51,429.78999999999996
1259,575.85,805.04,55.75,102.09,47.4,20.51,429.78999999999996
1260,576.52,805.05,55.75,102.09,47.4,20.51,407.61
1261,576.34,805.09,55.75,102.09,47.4,20.51,407.61
1262,576.0,805.35,55.75,102.09,47.4,20.51,407.61
1263,575.85,804.28,55.75,102.09,47.4,20.51,404.29999999999995
1264,575.28,803.95,55.75,102.09,47.4,20.51,404.29999999999995
1265,576.56,804.95,55.75,102.09,47.4,20.51,404.29999999999995
1266,576.39,805.23,55.75,102.09,47.4,20.51,421.33
1267,451.63,787.19,55.75,102.09,47.4,20.51,421.33
1268,451.72,787.19,55.75,102.09,47.4,20.51,421.33
1269,288.68,559.04,55.75,102.09,47.4,20.51,419.70000000000005
1270,288.29,559.02,55.75,102.09,47.4,20.51,419.70000000000005
1271,288.02,558.17,55.75,102.09,47.4,20.51,419.70000000000005
1272,289.09,559.2,55.75,102.09,47.4,20.51,425.51
1273,561.18,740.23,55.75,102.09,47.4,20.51,425.51
1274,626.59,791.77,54.35,99.12,45.41,21.76,425.51
1275,626.5,791.61,54.35,99.12,45.41,21.76,397.99
1276,626.55,791.28,54.35,99.12,45.41,21.76,397.99
1277,626.02,791.52,54.35,99.12,45.41,21.76,397.99
1278,625.97,791.28,54.35,99.12,45.41,21.76,393.04999999999995
1279,626.86,791.63,54.35,99.12,45.41,21.76,393.04999999999995
1280,626.99,791.72,54.35,99.12,45.41,21.76,393.04999999999995
1281,583.11,785.27,54.35,99.12,45.41,21.76,423.21000000000004
1282,583.9,785.18,54.35,99.12,45.41,21.76,423.21000000000004
1283,854.68,773.23,54.35,99.12,45.41,21.76,423.21000000000004
1284,855.0,772.83,54.35,99.12,45.41,21.76,421.59
1285,854.24,815.01,54.35,99.12,45.41,21.76,421.59
1286,854.83,812.5,54.35,99.12,45.41,21.76,421.59
1287,854.39,712.88,54.35,99.12,45.41,21.76,437.90999999999997
1288,1160.0,862.12,54.35,99.12,45.41,21.76,437.90999999999997
1289,1160.21,861.93,54.35,99.12,45.41,21.76,437.90999999999997
1290,1160.03,862.21,54.35,99.12,45.41,21.76,453.77
1291,1159.88,860.89,54.35,99.12,45.41,21.76,453.77
1292,1160.06,862.22,54.35,99.12,45.41,21.76,453.77
1293,1159.74,862.12,54.35,99.12,45.41,21.76,445.29
1294,1160.38,861.15,54.35,99.12,45.41,21.76,445.29
1295,1160.21,862.38,54.35,99.12,45.41,21.76,445.29
1296,1143.0,860.19,54.35,99.12,45.41,21.76,428.33
1297,1142.12,859.79,54.35,99.12,45.41,21.76,428.33
1298,1141.05,859.27,53.93,97.63,47.04,21.81,428.33
1299,1142.97,859.94,53.93,97.63,47.04,21.81,424.26
1300,1142.38,859.74,53.93,97.63,47.04,21.81,424.26
1301,1295.18,881.73,53.93,97.63,47.04,21.81,424.26
1302,1294.77,881.67,53.93,97.63,47.04,21.81,436.24
1303,1294.47,881.55,53.93,97.63,47.04,21.81,436.24
1304,1007.3,840.09,53.93,97.63,47.04,21.81,436.24
